# ----------------------------------------
# elektrischefietsen.com ALLE_DATA
# Top Events
# 20181001-20190812
# ----------------------------------------

Event Label,Page,Total Events,Unique Events,Event Value,Avg. Value
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&motorpositie[0]=ebike-middenmotor&motortechniek[0]=bosch-active-line&motortechniek[1]=bosch-active-line-plus&aantal_versnellingen[0]=traploos&aantal_versnellingen[1]=7&aantal_versnellingen[2]=8&aantal_versnellingen[3]=9&aantal_versnellingen[4]=10&aantal_versnellingen[5]=11&aantal_versnellingen[6]=12&aantal_versnellingen[7]=14&aantal_versnellingen[8]=17&aantal_versnellingen[9]=20&aantal_versnellingen[10]=22&aantal_versnellingen[11]=24&aantal_versnellingen[12]=27&aantal_versnellingen[13]=30&type_versnellingen[0]=naafversnelling&prijs[0]=2000-2500&prijs[1]=2500-3000&orderby=price&order=ASC,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&motorpositie[0]=ebike-middenmotor&motortechniek[0]=bosch-active-line&motortechniek[1]=bosch-active-line-plus&motortechniek[2]=bosch-e-bike-motor&motortechniek[3]=bosch-performance-line&motortechniek[4]=bosch-performance-line-cx&motortechniek[5]=bosch-performance-line-speed&orderby=price&order=ASC,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&motorpositie[0]=ebike-middenmotor&orderby=price&order=DESC,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&motorpositie[0]=ebike-middenmotor&prijs[0]=1000-1500&prijs[1]=1500-2000&orderby=price&order=ASC,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&motorpositie[0]=ebike-middenmotor&prijs[0]=1500-2000&prijs[1]=2000-2500,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&motorpositie[0]=ebike-middenmotor&prijs[0]=1500-2000&prijs[1]=2000-2500&orderby=price&order=ASC,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&motorpositie[0]=ebike-middenmotor&prijs[0]=2000-2500&prijs[1]=2500-3000&orderby=price&order=ASC,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&motorpositie[0]=in-het-achterwiel&orderby=price&order=DESC,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&motorpositie[0]=in-het-achterwiel&prijs[0]=1000-1500&prijs[1]=1500-2000&prijs[2]=2000-2500&orderby=popularity&order=DESC,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&prijs[0]=1000-1500&prijs[1]=1500-2000,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&prijs[0]=1000-1500&prijs[1]=1500-2000&prijs[2]=2000-2500&orderby=popularity&order=DESC,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&prijs[0]=1500-2000&prijs[1]=2000-2500,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&type[1]=speed-pedelec,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-mountainbike&motorpositie[0]=ebike-middenmotor,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-mountainbike&motorpositie[0]=ebike-middenmotor&motorpositie[1]=in-het-achterwiel&orderby=price&order=ASC,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-mountainbike&motorpositie[0]=ebike-middenmotor&prijs[0]=1000-1500,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-stadsfiets,2,0,0,0.00
